Sec_Code,Sec_Name_E
1809,Markaz Abo Homus
1810,Markaz El Mahmodia
1811,Markaz El Rahmania
1812,Markaz Shobra Kheet
1813,Markaz Etay El Barod
1814,Markaz Koum Hamada
1815,Markaz Badr
1816,Markaz El Delngat
1817,Markaz Wady El Natron
1818,Qesm Gharb El Nobaria
1898,Qesm Gharb El Nobaria - El Kharegen Village
1899,Surrounded By Desert To Behera Governorate
1901,Qesm 1st Ismalia
1902,Qesm 2nd Ismalia
1903,Qesm 3rd Ismalia
1904,Markaz El Ismalia
1905,Markaz El Qantra Gharb
1906,Qesm El Qantra Shark
1907,Markaz Fayed
1908,Markaz Abu Sower
1909,Markaz El Tal El Kebir
1910,Markaz El Qasaseen El Gadidah
1998,Surrounded By Desert To Markaz Abu Sower
1999,Surrounded By Desert To Markaz El Tal El Kebeer
2101,Qesm Embaba
2102,Qesm El Agoza
2103,Qesm El Doki
2104,Qesm El Giza
2105,Qesm Bolak El Dakror
2106,Qesm El Omrania
2107,Qesm El Talbia
2108,Qesm El Ahram
2109,Markaz Abu El Nomros
2110,Qesm El Hawamdia
2111,Markaz El Badrashin
2112,Markaz El Ayat
2113,Markaz El Saf
2114,Markaz Atfeeh
2115,Markaz Kerdasa
2116,Markaz Owssim
2117,Qesm El Waraq
2118,Markaz Monshaet El Qanater
2119,Qesm El Shikh Zaid
2120,Qesm 1st 6 October
2121,Qesm 2nd 6 October
2122,Qesm El Wahat El Baharaia
2198,Surrounded By Desert To Qesm El Wahat El Baharia
2199,Surrounded By Desert To Giza Governorate
2201,Qesm Beni Suef
2202,Markaz Beni Suef
2203,Qesm New Beni Suef City
2204,Markaz Ahnasia
2205,Markaz Beba
2206,Markaz Smasta
2207,Markaz El Fashn
2208,Markaz El Wasta
2209,Markaz Naser
2299,Surrounded By Desert To Bani Suif Governorate
2301,Qesm El Faioum
2302,Markaz El Faioum
2303,Markaz Tamia
2304,Markaz Snors
2305,Markaz Abshway
2306,Markaz Atsa
2307,Markaz Youssef El Sedik
2308,New El Faioum City
2399,Surrounded By Desert To Faioum Governorate
2401,Qesm 1st
2402,Qesm 2nd
2403,Qesm 3rd
2404,Qesm New Menia
2405,Markaz El Menia
2406,Markaz Abo Qurqas
2407,Qesm Malawy
2408,Markaz Malawy
2409,Markaz Dair Mowas
2410,Markaz Samalot Shark
2411,Qesm Malawy Gharb
2412,Markaz Matay
2413,Markaz Bani Mazar
2414,Markaz Maghagha
2415,Markaz El Odwa
2499,Surrounded By Desert To Menia Governorate
2501,Qesm 1st Assiot
2502,Qesm 2nd Assiot
2503,Markaz Assiot
2504,Qesm Abu Teeg
2505,Markaz Abo Teeg
2506,Markaz El Ghanayem
2507,Markaz Sadfa
2508,Markaz Manfalout
2509,Markaz El Qossia
2510,Markaz Dairot
2511,Markaz Abnob
2512,Markaz El Fath
2513,Markaz Sahel Selim
2514,Markaz El Badary
2515,New Assiot City
2599,Surrounded By Desert To Assiot Governorate
2601,Qesm 1st Sohag
2602,Qesm 2nd Sohag
