Gov_Code,Gov_Name_E
01,Cairo
02,Alexandria
03,Port Said
04,Suez
11,Domiat
12,El Daqahlia
13,El Sharkia
14,El Qaliobia
15,Kafr El Shikh
16,El Gharbia
17,El Monofia
18,El Behera
19,Ismalia
21,Giza
22,Beni Suef
23,El Faioum
24,El Menia
25,Assiot
26,Sohag
27,Qena
28,Aswan
29,Luxor
31,Red Sea
32,El Wadi El Gidid
33,Matroh
34,North Sinai
35,South Sinai
